StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q15,Q16,Q18,Q21,Q23,Q6,Q10,Q8_First Click,Q8_Last Click,Q8_Page Submit,Q8_Click Count,Q17,mTurkCode,Ambivalence,Q15 - Topics,Ambivalentvs.Univalent_DO,Highvs.LowPower_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Step 2: Please write a short paragraph about a time when you felt you were powerful.,Step 2: Please write a short paragraph about a time when you felt you were not powerful.,How conflicted do you feel about Bob?,How undecided do you feel about Bob?,How much mixed-reactions do you have about Bob?,"If you had the opportunity to wait before
making any decisions about Bob, how likely would you
be to delay taking action?","Would you decide to promote Bob or
not to promote Bob based on the given information?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please answer the following question about your level of eduction. 
If you have ever attended college, regardless of whether you graduated or not, please click true. Otherwise, please click false.",mTurkCode,Ambivalence,Q15 - Topics,Ambivalent vs. Univalent - Display Order,High vs. Low Power - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID6""}","{""ImportId"":""QID10""}","{""ImportId"":""QID8_FIRST_CLICK""}","{""ImportId"":""QID8_LAST_CLICK""}","{""ImportId"":""QID8_PAGE_SUBMIT""}","{""ImportId"":""QID8_CLICK_COUNT""}","{""ImportId"":""QID17""}","{""ImportId"":""mTurkCode""}","{""ImportId"":""Ambiva_CEDrx7knh2""}","{""ImportId"":""QID15_TEXT_0e23fd155a1045cf83775a86Topics""}","{""ImportId"":""BL_enXtVJ3Af7a3hcx_DO""}","{""ImportId"":""BL_5q0iKt5rWww88MR_DO""}"
2018-10-26 18:06:16,2018-10-26 18:12:09,IP Address,172.58.120.207,100,353,True,2018-10-26 18:12:10,R_1MKHsuIS6rg3mZ4,,,,,42.4261016845703125,-83.195098876953125,anonymous,EN,,I remember that I was talking to my fiance and she was in full of pains. I could not relief her physical pain and felt I am not powerful.,,,,2,6,18.203,18.119,19.085,2,,,0,,Q13,Q16
2018-10-26 18:15:44,2018-10-26 18:18:11,IP Address,174.214.7.12,100,147,True,2018-10-26 18:18:12,R_1mwoFdjhr5dU7ze,,,,,37.770599365234375,-122.264801025390625,anonymous,EN,"making work decisions that would provide more equitable opportunities for staff who aren't managers ",,,,,4,3,8.412,8.429,9.161,2,,,1,Unknown,Q14,Q15
2018-10-26 18:16:12,2018-10-26 18:19:03,IP Address,171.66.208.4,100,171,True,2018-10-26 18:19:03,R_28UqzIPpGZwWPxH,,,,,37.4235992431640625,-122.161895751953125,anonymous,EN,,"I felt powerless when I felt like I did not have a say in our scheduling of lab meetings. Although I had provided my availability, the proposed time to meet did not work with my schedule. I felt very undervalued. ",,,,8,4,3.53,3.53,4.337,1,,,0,,Q13,Q16
2018-10-26 18:10:41,2018-10-26 18:23:14,IP Address,99.95.197.215,100,752,True,2018-10-26 18:23:15,R_2Pwh752p8ed7AEv,,,,,42.33489990234375,-83.1800994873046875,anonymous,EN,"I have felt powerful while teaching. ",,,,,5,7 - I would definitely promote Bob,6.041,6.058,15.297,2,,,0,Unknown,Q13,Q15
2018-10-26 18:13:14,2018-10-26 18:56:30,IP Address,73.189.204.57,100,2595,True,2018-10-26 18:56:30,R_31u3HDwNGKdE2qD,,,,,37.444305419921875,-122.1497039794921875,anonymous,EN,,"When my advisor asked me to defend my thesis in 4 months, I knew that I am only half a way through what I had planned to do for my PhD. I was not able to talk about this to my advisor, as I was afraid he will get disappointed in me. I had such a hard time then, but by working hard days and nights, I was able to finosh my work on time.",,,,6,3,9.756,9.768,11.227,2,,,1,,Q14,Q16
2018-10-26 19:49:27,2018-10-26 19:55:08,IP Address,99.72.111.169,100,341,True,2018-10-26 19:55:08,R_1EUBTUUIJ6c0rvP,,,,,39.9951934814453125,-83.00469970703125,anonymous,EN,"I normally feel powerful when I feel accomplished and prepared. Anytime I've accomplished my goals and attended a meeting or gathering well-prepared knowing the information very well and taking charge of the meeting, i've felt powerful. Most recently, I've felt powerful teaching a class. Knowing that what I teach them will be the foundation for their studies and they can always reach out to me makes me feel accomplished.",,,,,4,4,15.101,15.221,16.248,2,,,0,Unknown,Q13,Q15
2018-10-26 22:27:06,2018-10-26 22:28:49,IP Address,108.51.241.70,100,103,True,2018-10-26 22:28:50,R_eShbYZA0X4nxU7D,,,,,39.1125030517578125,-77.25150299072265625,anonymous,EN,"When I've completed all my daily tasks. ",,,,,10 - I would delay my decision for as long as possible,1 - I would definitely NOT promote Bob,3.699,8.738,12.665,3,,,1,Unknown,Q14,Q15
2018-10-27 20:04:54,2018-10-27 20:19:18,IP Address,104.58.165.77,100,864,True,2018-10-27 20:19:18,R_3hrUq3UNRR5ZXiF,,,,,31.8383026123046875,-106.53639984130859375,anonymous,EN,,"A time I felt I was not powerful was when I was overcome by my own self; in instances of anger, for example where I become overly passionate and cannot consciously silence my mind and therefore my tongue; these moments make me feel not powerful. ",,,,4,4,11.965,15.776,17.771,2,,,1,,Q14,Q16
2018-10-26 17:51:19,2018-10-26 17:52:21,IP Address,171.66.208.4,33,62,False,2018-11-02 17:52:37,R_3kaI7QUhbIjbkqf,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,Q14,Q16
2018-10-26 19:40:40,2018-10-26 19:40:52,IP Address,68.82.167.180,11,12,False,2018-11-02 19:41:00,R_2xXkJIOS88Qsf4H,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,Q13,
2018-10-26 20:02:01,2018-10-26 20:02:08,IP Address,68.82.167.180,33,7,False,2018-11-02 20:02:10,R_302E7Bno0AGETrC,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,Q14,Q15
2018-10-27 02:52:20,2018-10-27 02:52:30,IP Address,172.58.216.99,11,9,False,2018-11-03 02:52:31,R_3p3DBxt1KI1J6sH,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,Q14,
2018-10-27 07:30:57,2018-10-27 07:31:48,IP Address,96.255.167.167,56,51,False,2018-11-03 07:32:16,R_3m4XOQGc7YepLG3,,,,,,,anonymous,EN,-99,,,,,,,,,,,,,,,Q13,Q15
2018-10-27 21:17:24,2018-10-27 21:17:36,IP Address,96.255.167.167,33,12,False,2018-11-03 21:18:02,R_2QQfeDOwPRLWtC0,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,Q14,Q15
2018-10-28 13:23:14,2018-10-28 13:23:20,IP Address,76.240.38.75,11,5,False,2018-11-04 12:23:43,R_788R8EHsEWtLEzL,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,Q13,
2018-10-30 19:16:33,2018-10-30 19:18:00,IP Address,171.66.208.4,11,87,False,2018-11-06 18:18:00,R_31bYqAKg5gSoA2l,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,Q13,
2018-10-30 19:18:01,2018-10-30 19:19:17,IP Address,171.66.208.4,33,75,False,2018-11-06 18:20:03,R_1MRPmzncdr0qMeE,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,Q14,Q16
2018-10-30 19:19:18,2018-10-30 19:32:27,IP Address,171.66.208.4,78,789,False,2018-11-06 18:32:35,R_1FDJl1UCamSf8WJ,,,,,,,anonymous,EN,-99,,,,,-99,,,,,,,,,,Q14,Q15
2018-11-05 00:32:01,2018-11-05 00:32:08,IP Address,76.240.38.75,11,6,False,2018-11-12 00:32:23,R_2usqbTv4nK4PIqz,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,Q14,
2018-11-21 11:13:29,2018-11-21 11:16:04,IP Address,98.208.8.84,100,154,True,2018-11-21 11:16:04,R_bJWHpSGGnVC61PP,,,,,38.5727996826171875,-121.467498779296875,anonymous,EN,,"I twas tjkldsfjklsd ;klrer;klwekrw;lekre;l ",,,,3,4,2.126,2.948,5.898,3,,,,,Q13,Q16
2018-11-24 22:14:56,2018-11-24 22:15:09,IP Address,96.255.167.167,100,12,True,2018-11-24 22:15:09,R_2ON12I74En6DuGW,,,,,38.8448028564453125,-77.46700286865234375,anonymous,EN,-99,,,,,-99,-99,0,0,0.698,0,,2364618,,,Q13,Q15
2018-12-03 14:31:45,2018-12-03 14:33:43,IP Address,68.129.243.14,100,117,True,2018-12-03 14:33:44,R_27J4jSq4lFbti1Y,,,,,40.813507080078125,-73.93810272216796875,anonymous,EN,,"I did not feel powerful at my last job interview which did not go well. I did not answer some questions well and there were some technical questions which I did not answer correctly. I did not feel powerful because I felt like I had no power over whether or not I did well in the interview because I did not expect some of the questions.
",,,,3,7 - I would definitely promote Bob,2.698,2.698,3.121,1,True,5008491,,,Q13,Q16
2018-12-03 14:37:31,2018-12-03 14:40:32,IP Address,73.140.217.65,100,180,True,2018-12-03 14:40:32,R_bfsXIffgSBWW72p,,,,,47.0240020751953125,-122.7826995849609375,anonymous,EN,I won an online contest several months ago.  The prize was a new Bose bluetooth speaker that is highly regarded in reviews.  I felt powerful in that moment because I never win contests and I was given something that I had always wanted to try out but was too reluctant to purchase myself.,,,,,7,4,5.225,5.225,8.357,1,True,3968911,,,Q14,Q15
2018-12-03 14:40:46,2018-12-03 14:42:03,IP Address,122.164.18.105,100,77,True,2018-12-03 14:42:04,R_3snxKQx0urfaKlc,,,,,13.0832977294921875,80.283294677734375,anonymous,EN,,NOTHING BUT REFER,,,,5,1 - I would definitely NOT promote Bob,4.292,4.292,6.2,1,True,2900064,,,Q14,Q16
2018-12-03 15:06:16,2018-12-03 15:10:41,IP Address,122.164.18.35,100,265,True,2018-12-03 15:10:42,R_2tFIH3IFrNFKZeH,,,,,13.0832977294921875,80.283294677734375,anonymous,EN,one day i play with the shuttle actually it really weighs high but i manage it to throw easily..,,,,,5,4,0.929,0.929,2.207,1,True,8950776,,,Q14,Q15
2018-12-05 15:42:02,2018-12-05 15:42:51,IP Address,171.66.208.4,100,49,True,2018-12-05 15:42:51,R_r0i0oaqBuX8Dzot,,,,,37.4235992431640625,-122.161895751953125,anonymous,EN,,"Blah blah blah blha blha blha blha blah blah jdska s jahsd test test tes test tetest tes t test tes tes s ",3,3,7,8,2,0.811,0.811,1.648,1,False,4864624,,,Q13,Q16
